N,ranks,threads,steps,time_s
1000,1,1,20,0.0586
5000,1,1,20,0.6018
10000,1,1,20,1.4037
1000,2,2,20,0.0243
5000,2,2,20,0.1727
10000,2,2,20,0.3975
1000,4,2,20,0.0214
5000,4,2,20,0.1522
10000,4,2,20,0.3816
100000,1,1,50,48.3893
1000000,1,1,50,1012.8750
1000,4,2,10,0.0100
1000,4,2,10,0.0198
10,4,2,10,0.0008
10,4,2,10,0.0008
1000,4,2,10,0.0107
1000000,4,2,10,56.1670
1000000,4,2,10,48.3912
1000000,1,1,10,181.3855
10,4,1,10,0.0000
10,2,1,10,0.0001
100,2,1,10,0.0005
100,1,1,10,0.0010
1000,1,1,10,0.0285
1000000,4,1,10,61.2668
1000000,4,1,10,62.0821
